iter	Passed	Remaining
831	1272	257
832	1274	255
833	1275	253
834	1277	252
835	1278	250
836	1280	249
837	1281	247
838	1282	246
839	1284	244
840	1285	242
841	1286	241
842	1287	239
843	1288	238
844	1289	236
845	1290	234
846	1292	233
847	1293	231
848	1294	230
849	1295	228
850	1297	227
851	1298	225
852	1299	224
853	1301	222
854	1302	220
855	1303	219
856	1305	217
857	1306	216
858	1307	214
859	1308	213
860	1309	211
861	1313	210
862	1315	208
863	1317	207
864	1318	205
865	1319	204
866	1320	202
867	1322	201
868	1323	199
869	1325	197
870	1326	196
871	1329	195
872	1331	193
873	1333	192
874	1334	190
875	1335	189
876	1337	187
877	1339	186
878	1340	184
879	1342	183
880	1343	181
881	1344	179
882	1345	178
883	1347	176
884	1348	175
885	1349	173
886	1350	172
887	1352	170
888	1353	168
889	1354	167
890	1355	165
891	1357	164
892	1358	162
893	1359	161
894	1361	159
895	1362	158
896	1363	156
897	1364	155
898	1366	153
899	1367	151
900	1368	150
901	1369	148
902	1371	147
903	1372	145
904	1373	144
905	1374	142
906	1375	141
907	1376	139
908	1377	137
909	1379	136
910	1380	134
911	1381	133
912	1382	131
913	1383	130
914	1384	128
915	1385	127
916	1387	125
917	1388	123
918	1389	122
919	1391	120
920	1392	119
921	1393	117
922	1394	116
923	1395	114
924	1400	113
925	1402	112
926	1403	110
927	1404	108
928	1405	107
929	1406	105
930	1407	104
931	1408	102
932	1409	101
933	1410	99
934	1412	98
935	1413	96
936	1416	95
937	1417	93
938	1418	92
939	1419	90
940	1420	89
941	1422	87
942	1424	86
943	1425	84
944	1426	83
945	1429	81
946	1430	80
947	1431	78
948	1432	76
949	1433	75
950	1434	73
951	1435	72
952	1437	70
953	1438	69
954	1439	67
955	1440	66
956	1441	64
957	1443	63
958	1444	61
959	1445	60
960	1446	58
961	1447	57
962	1449	55
963	1450	54
964	1451	52
965	1453	51
966	1454	49
967	1455	48
968	1457	46
969	1459	45
970	1461	43
971	1462	42
972	1463	40
973	1464	39
974	1465	37
975	1466	36
976	1468	34
977	1469	33
978	1470	31
979	1471	30
980	1472	28
981	1473	27
982	1474	25
983	1475	23
984	1477	22
985	1478	20
986	1479	19
987	1480	17
988	1481	16
989	1483	14
990	1484	13
991	1487	11
992	1488	10
993	1489	8
994	1490	7
995	1492	5
996	1493	4
997	1495	2
998	1496	1
999	1497	0
